image_id,forehead_mean_l,forehead_mean_a,forehead_mean_b,forehead_std_l,forehead_std_a,forehead_std_b,forehead_p10_l,forehead_p90_l,forehead_contrast_l,forehead_ratio_a_b,forehead_ratio_a_l,forehead_ratio_b_l,forehead_brightness_ratio,forehead_chroma_energy,sternum_mean_l,sternum_mean_a,sternum_mean_b,sternum_std_l,sternum_std_a,sternum_std_b,sternum_p10_l,sternum_p90_l,sternum_contrast_l,sternum_ratio_a_b,sternum_ratio_a_l,sternum_ratio_b_l,sternum_brightness_ratio,sternum_chroma_energy
1,0.6061984896659851,2.2138867734611267e-06,6.215913117557648e-08,0.1204477846622467,1.0,1.0000001192092896,0.4363636374473572,0.7333333492279053,0.2969697117805481,2.0843268287030035,3.6520762739027948e-06,1.0253906879701606e-07,5.032840234676037,2.214759220162458e-06,0.44695132970809937,-1.1126200405442432e-07,2.2252400810884865e-07,0.12377633154392242,1.0,1.0000001192092896,0.302325576543808,0.604651153087616,0.302325576543808,-0.09101007695263029,-2.489348341177426e-07,4.978696682354852e-07,3.610938482297933,2.4878940437855e-07
2,0.6587833166122437,-5.915051133342786e-07,-1.5167962601481122e-06,0.0857657641172409,1.0000001192092896,0.9999999403953552,0.5815602540969849,0.7234042286872864,0.1418439745903015,0.23502304207153774,-8.978737022399924e-07,-2.302417076271852e-06,7.681114280022304,1.6280507344367058e-06,0.4267011284828186,1.994768808799563e-06,-8.219764140449115e-07,0.10980457812547684,1.0,0.9999999403953552,0.30136987566947937,0.5616438388824463,0.2602739632129669,-1.0948378878138387,4.674850851792467e-06,-1.926347114713324e-06,3.8859786157240417,2.1574864601674234e-06
3,0.634411633014679,-2.765655608527595e-06,8.855546980157669e-07,0.10358158499002457,0.9999999403953552,0.9999999403953552,0.5074626803398132,0.7313432693481445,0.2238805890083313,-1.4667596816141097,-4.359395548896019e-06,1.395865485540035e-06,6.124703617657114,2.9039728077511228e-06,0.38166365027427673,-2.2025335510988953e-06,-5.023820222049835e-07,0.10929043591022491,0.9999999403953552,1.0,0.261904776096344,0.523809552192688,0.261904776096344,1.4660276271585895,-5.770860753061837e-06,-1.3162917284688413e-06,3.492173445207426,2.2591019764391066e-06
4,0.6743766665458679,-9.196145356327179e-07,-4.7229585220520676e-07,0.08683840185403824,1.0000001192092896,1.0,0.5988371968269348,0.7616279125213623,0.1627907156944275,0.6246125968875875,-1.363649155736343e-06,-7.003432581394411e-07,7.76580275943607,1.0338057197352035e-06,0.4300076365470886,-2.031099256782909e-06,7.107144028850598e-07,0.08918139338493347,1.0,1.0,0.32894736528396606,0.5263158082962036,0.19736844301223755,-1.1872813213927067,-4.7233917743893755e-06,1.6527909964599798e-06,4.821676344691311,2.1518548169828632e-06
5,0.6940299868583679,-3.8101559312053723e-06,1.1353265705338345e-07,0.07847542315721512,1.0,1.0,0.6341463327407837,0.7560975551605225,0.12195122241973877,-3.4216831514288595,-5.489893107586732e-06,1.6358442087334675e-07,8.843815236940483,3.811847043667555e-06,0.46227800846099854,6.596247317247617e-07,1.8324170696359943e-06,0.09703493118286133,0.9999999403953552,0.9999999403953552,0.34246575832366943,0.5753424763679504,0.232876718044281,0.23288404055887604,1.4268974356433768e-06,3.963876871105194e-06,4.763998271834455,1.947525892971985e-06
6,0.6510810256004333,-2.4659293558215722e-06,-1.3850983577867737e-06,0.08632242679595947,1.0,0.9999998211860657,0.5630252361297607,0.7478991746902466,0.18487393856048584,1.0338900061588256,-3.78743270258071e-06,-2.127379198511008e-06,7.54235611080848,2.828304270874372e-06,0.44251778721809387,-5.65392610951676e-07,-1.066213599187904e-06,0.1371997743844986,1.0,1.0000001192092896,0.2804878056049347,0.6341463327407837,0.353658527135849,0.27363705822761775,-1.27766916859289e-06,-2.4094199613324537e-06,3.2253373875132523,1.206847232922203e-06
7,0.7075445055961609,1.5326908453516808e-07,1.4373234762388165e-06,0.11462841182947159,1.0,1.0,0.617977499961853,0.8089887499809265,0.1910112500190735,0.06288417849717963,2.1662081565485632e-07,2.0314219578396757e-06,6.172460403519655,1.4454723060721309e-06,0.4863308370113373,6.267002845561365e-07,-1.5088489817571826e-06,0.09443000704050064,0.9999999403953552,0.9999999403953552,0.3669724762439728,0.5963302850723267,0.22935780882835388,-0.24979593794330315,1.2886268939483947e-06,-3.1025091654075872e-06,5.150128673336648,1.6338232757591712e-06
8,0.6493973731994629,1.5054430377858807e-06,1.930055077536963e-06,0.0889454185962677,0.9999999403953552,1.0,0.5511810779571533,0.748031497001648,0.19685041904449463,0.5137934263854771,2.3182119018390018e-06,2.9720663881985826e-06,7.301006419911239,2.4477482187398673e-06,0.3761569559574127,9.627569852455053e-07,-4.930155341753562e-07,0.1240181103348732,0.9999999403953552,1.0,0.2469135820865631,0.5432098507881165,0.29629626870155334,-0.644840568103847,2.55944868371867e-06,-1.3106609241336202e-06,3.033064460321645,1.0816493561118713e-06
9,0.6824785470962524,-7.583981300740561e-07,2.486365247023059e-07,0.10472341626882553,0.9999999403953552,0.9999999403953552,0.586776852607727,0.8016529083251953,0.21487605571746826,-0.6073810232764654,-1.1112393525942494e-06,3.6431351790713783e-07,6.516909536591169,7.9811518286264e-07,0.5067740082740784,1.1398678907426074e-06,-1.5167962601481122e-06,0.12622255086898804,0.9999999403953552,1.0,0.3478260934352875,0.6666666865348816,0.3188405930995941,-0.45290431680613147,2.24925829437535e-06,-2.9930368218311693e-06,4.014900585391378,1.8973586121619972e-06
10,0.7260880470275879,8.514949172422348e-07,7.084437925186648e-07,0.09435496479272842,0.9999999403953552,1.0,0.6510066986083984,0.8120805621147156,0.16107386350631714,0.4984038228070252,1.1727141742848546e-06,9.756982224409555e-07,7.695210881713588,1.107671522269842e-06,0.40272584557533264,1.9345964119565906e-06,9.945460988092236e-07,0.12830379605293274,1.0,1.0,0.23529411852359772,0.5529412031173706,0.3176470845937729,0.9699431931463386,4.803743364048256e-06,2.469530178422604e-06,3.1388292407182172,2.175266700846579e-06
